game,console,Publisher,Release Year,Release Month,Release Day,Total Shipped,NA Sales,PAL Sales,Japan Sales,Other Sales,NS,PS4,XBOX ONE,PC,Genre(s),VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction
Mario Kart 8 Deluxe,NS,Nintendo,2017,4,28,35390000,N/A,N/A,N/A,N/A,1,0,0,0,"Racing, Arcade, Automobile",93,92,86,87,95,90,80,92,80,90,100,93,37,92.5,"Mario Kart 8 is a kart racing video game developed and published by Nintendo. It was released for the Wii U in May 2014. It retains Mario Kartseries game mechanics, where players control Mario franchise characters in kart racing, collecting a variety of items to hinder opponents or gain advantages in the race. Mario Kart 8 introduces anti-gravity driving on walls or ceilings, and allows players to bump into each other for a short boost. It has single-player and multiplayer modes, including online via the Nintendo Network."
Animal Crossing: New Horizons,NS,Nintendo,2020,3,20,32630000,N/A,N/A,N/A,N/A,1,0,0,0,"Simulation, Virtual Life",80,90,55,85,85,N/A,N/A,90,N/A,90,90,90,38,95,"Animal Crossing: New Horizons is a 2020 life simulation game developed and published by Nintendo for the Nintendo Switch; it is the fifth main game in the Animal Crossing series. In New Horizons, the player controls a character who moves to a deserted island after purchasing a getaway package from Tom Nook, playing the game in a nonlinear fashion and developing the island as they choose. They can gather and craft items, customize the island, and form it into a community of anthropomorphic animals."
Super Smash Bros. Ultimate,NS,Nintendo,2018,12,7,23840000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Fighting",94,93,86,87,95,90,95,95,N/A,90,90,94,38,95,"Super Smash Bros. Ultimate is a 2018 crossover fighting game developed by Bandai Namco Studios and Sora Ltd. and published by Nintendofor the Nintendo Switch. It is the fifth installment in the Super Smash Bros. series, succeeding Super Smash Bros. for Nintendo 3DS and Wii U. The game follows the series' traditional style of gameplay: controlling one of the various characters, players must use differing attacks to weaken their opponents and knock them out of an arena. It features a wide variety of game modes, including a campaign for single-player and multiplayer versus modes. Ultimate features over 80 playable fighters, including everyone from all previous Super Smash Bros. games alongside several newcomers. The roster ranges from Nintendo mascots to characters from third-party franchises, with the game being supported with post-release downloadable content that adds more fighters and other content."
The Legend of Zelda: Breath of the Wild,NS,Nintendo,2017,3,3,22280000,N/A,N/A,N/A,N/A,1,0,0,0,"Action Adventure, Open-World",99,97,87,91,100,100,95,100,100,100,100,100,40,100,"The Legend of Zelda: Breath of the Wild[b] is a 2017 action-adventure game developed and published by Nintendo for the Nintendo Switch and Wii U consoles. Breath of the Wild is part of the Legend of Zelda franchise and is set at the end of the Zelda timeline; the player controls Link, who awakens from a hundred-year slumber to defeat Calamity Ganon and save the kingdom of Hyrule."
Pokémon Sword / Shield,NS,Nintendo,2019,11,15,21100000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Trainer",70,80,46,N/A,70,N/A,80,87.5,N/A,90,90,93,38,95,"Pokémon Sword and Pokémon Shield are 2019 role-playing video games developed by Game Freak and published by The Pokémon Company and Nintendo for the Nintendo Switch. They are the first installments in the eighth generation of the Pokémon video game series and the second in the series, following Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, released on a home game console. Originally teased at E3 2017and announced in February 2019, Pokémon Sword and Shield were released in November 2019. The games received two downloadable contentexpansion packs through an expansion pass with the The Isle of Armor, released in June 2020 and The Crown Tundra, released in October 2020. A physical bundle including both expansion packs with the base games was released in November 2020."
Super Mario Odyssey,NS,Nintendo,2017,10,27,20830000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer, 3D",99,97,89,90,95,100,100,97.5,100,100,100,100,39,97.5,"Super Mario Odyssey is a 2017 platform game developed and published by Nintendo for the Nintendo Switch. An entry in the Super Marioseries, it follows Mario and Cappy, a sentient hat that allows Mario to control other characters and objects, as they journey across various kingdoms to save Princess Peach from his nemesis Bowser, who plans to forcibly marry her. In contrast to the linear gameplay of prior entries, the game returns to the primarily open-ended, 3D platform gameplay featured in Super Mario 64 and Super Mario Sunshine."
Super Mario Party,NS,Nintendo,2018,10,5,14790000,N/A,N/A,N/A,N/A,1,0,0,0,"Miscellaneous, Party, Minigame",73,76,71,69,75,N/A,90,72.5,N/A,70,N/A,73,34,85,"Super Mario Party is a party video game developed by NDcube and published by Nintendo for the Nintendo Switch. The eleventh main instalment in the Mario Party series, this game was described as a ""complete refresh"" of the franchise, bringing back and revitalizing gameplay elements from older titles while also introducing new ones to go along with them. It was released worldwide on 5 October 2018 and sold 1.5 million copies by the end of the month. As of 31 March 2021, the game has sold more than 14.79 million copies worldwide, making it one of the top ten best-selling games on the Nintendo Switch. A follow up on the Nintendo Switch, Mario Party Superstars, is set to release in 2021."
"Pokémon: Let's Go, Pikachu/Eevee",NS,Nintendo,2018,11,16,13280000,N/A,N/A,N/A,N/A,1,0,0,0,"Role-Playing, Trainer",N/A,79,62,N/A,N/A,N/A,85,N/A,N/A,80,90,83,37,92.5,"Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! are 2018 remakes of the 1998 Game Boy Color role-playing video gamePokémon Yellow. They were developed by Game Freak and jointly published by The Pokémon Company and Nintendo for the Nintendo Switch.[2]Announced in May 2018, Let's Go, Pikachu! and Let's Go, Eevee! were released worldwide for the Nintendo Switch on 16 November 2018. The games are part of the seventh generation of the Pokémon video game series and are the first of such to be released for a home game console. They feature connectivity with the mobile game Pokémon Go and support an optional controller, the Poké Ball Plus."
Splatoon 2,NS,Nintendo,2017,7,21,12210000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Shooter, Third-Person, Arcade",82,83,84,N/A,85,N/A,90,82,80,80,80,83,N/A,#VALUE!,"Splatoon 2 is a 2017 third-person shooter game developed and published by Nintendo for the Nintendo Switch. It was released on July 21, 2017 and is a direct sequel to Splatoon, which includes a new story-driven single-player mode and various online multiplayer modes. An expansion pack for the single-player mode titled Octo Expansion was subsequently released as downloadable content (DLC) in June 2018."
New Super Mario Bros. U Deluxe,NS,Nintendo,2019,1,11,10440000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Platformer",66,80,71,83,85,80,90,85,80,70,90,80,36,90,"New Super Mario Bros. U is a 2D side-scrolling platform video game developed and published in 2012 by Nintendo as a launch game for the Wii U. It is the fourth in the New Super Mario Bros. series.[1] It is a sequel to New Super Mario Bros. Wii (2009) and a follow-up to New Super Mario Bros. 2 (2012). As part of the ""Year of Luigi"" campaign, a downloadable expansion to the game, New Super Luigi U, was released in June 2013.[2] A standalone retail version was released the following month and later copies of the base game included the expansion on disc.[3] This is the first Mario game to be released in high-definition graphics."
